id,date,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
1,2011-12-05 11:31:00,North,Search,General,Standard,9.0,0.75,0.2782,32.0,817,0.001,3.34,1.0,30.0,816.49,119.7678115
2,2011-04-27 14:01:00,North,Social Media,General,Premium,3.35,3.35,0.0912,61.0,2289,0.064,4.44,0.366025404,90.0,1723.16,119.4046614
3,2010-11-09 15:20:00,North,Affiliate,General,Budget,2.55,2.55,0.1997,461.0,14697,0.1508,3.31,0.366025404,21.0,1151.74,132.0097468
4,2010-10-03 15:24:00,North,Affiliate,Storage,Premium,2.95,2.95,0.4767,744.0,17578,0.1965,2.87,-0.366025404,90.0,3585.85,154.5117559
5,2011-10-14 09:28:00,North,Search,Lighting,Premium,15.0,1.25,0.3536,226.0,6280,0.02,7.4,-0.366025404,90.0,502.28,128.0599241
6,2011-10-28 07:39:00,North,Email,General,Premium,79.2,1.65,0.0442,521.0,11484,0.021,3.83,-0.366025404,30.0,32267.58,160.216472
7,2011-06-28 15:44:00,North,Affiliate,Stationery,Premium,10.08,0.42,0.0627,125.0,4495,0.1554,3.3,-1.0,30.0,20.16,181.4641371
8,2011-11-06 12:23:00,North,Social Media,Storage,Premium,11.25,3.75,0.2257,217.0,3438,0.1389,7.0,0.366025404,60.0,987.36,144.6521075
9,2010-04-28 10:02:00,North,Search,Storage,Premium,17.0,8.5,0.204,168.0,3767,0.0316,2.92,0.366025404,7.0,1517.25,93.5809326
10,2009-12-20 15:38:00,North,Affiliate,Kitchen,Premium,11.9,0.85,0.1296,266.0,8803,0.0701,0.97,1.0,21.0,319.26,204.2856707
11,2010-04-20 17:25:00,North,Social Media,General,Premium,6.5,0.65,0.0796,269.0,3461,0.0475,2.42,0.366025404,28.0,1781.44,240.7854474
12,2011-11-20 15:00:00,North,Social Media,General,Premium,0.85,0.85,0.1494,243.0,5279,0.0573,2.79,0.366025404,7.0,65709.14,189.7308652
13,2011-03-03 14:05:00,North,Email,Storage,Premium,16.5,1.65,0.1641,845.0,10960,0.0353,6.13,1.0,14.0,48.95,140.9454149
14,2011-05-04 11:32:00,North,Search,Storage,Premium,0.85,0.85,0.1861,356.0,6950,0.2142,3.92,-0.366025404,30.0,6987.43,243.7952188
15,2010-12-10 11:19:00,North,Affiliate,General,Premium,20.16,0.42,0.2243,136.0,2756,0.1218,5.79,1.0,60.0,13951.97,230.5856601
16,2010-07-05 12:49:00,North,Email,Stationery,Standard,39.0,1.95,0.3123,658.0,11825,0.0145,2.89,-1.366025404,28.0,97.4,87.71149253
17,2011-01-07 10:47:00,North,Social Media,General,Premium,11.25,3.75,0.3241,289.0,6374,0.0449,5.21,1.366025404,30.0,1387.83,114.0232866
18,2011-07-01 12:58:00,North,Email,General,Premium,0.78,0.39,0.3485,89.0,3123,0.051,3.45,-1.366025404,14.0,34671.78,159.9407793
19,2010-06-07 13:03:00,North,Search,Storage,Premium,16.5,1.65,0.3056,845.0,13993,0.1262,3.41,-1.0,28.0,1603.37,157.0267964
20,2011-07-31 12:52:00,North,Search,Seasonal,Standard,13.5,6.75,0.5874,227.0,8793,0.0605,6.01,-1.366025404,90.0,838.8,40.58413724
21,2011-04-17 10:27:00,North,TV,Stationery,Premium,5.04,0.42,0.0396,148.0,3832,0.0262,2.0,0.366025404,14.0,21407.11,190.5987247
